individual	pedigree	fullSampleName	family
P296	BG95xGH1	P296:250353801	GRYG
P299	BG95xGH1	P299:250353802	GRYG
P3	BG95xGH1	P3:250353351	GRYG
P30	BG95xGH1	P30:250353377	GRYG
P301	BG95xGH1	P301:250353803	GRYG
P302	BG95xGH1	P302:250353804	GRYG
P303	BG95xGH1	P303:250353805	GRYG
P304	BG95xGH1	P304:250353806	GRYG
P305	BG95xGH1	P305:250353807	GRYG
P306	BG95xGH1	P306:250353808	GRYG
P307	BG95xGH1	P307:250353809	GRYG
P308	BG95xGH1	P308:250353810	GRYG
P309	BG95xGH1	P309:250353811	GRYG
P31	BG95xGH1	P31:250353378	GRYG
P310	BG95xGH1	P310:250353812	GRYG
P311	BG95xGH1	P311:250353813	GRYG
P312	BG95xGH1	P312:250353814	GRYG
P313	BG95xGH1	P313:250353815	GRYG
P314	BG95xGH1	P314:250353816	GRYG
P315	BG95xGH1	P315:250353817	GRYG
P32	BG95xGH1	P32:250353379	GRYG
P324	BG95xGH1	P324:250353818	GRYG
P325	BG95xGH1	P325:250353819	GRYG
P326	BG95xGH1	P326:250353820	GRYG
P328	BG95xGH1	P328:250353821	GRYG
P329	BG95xGH1	P329:250353822	GRYG
P33	BG95xGH1	P33:250353380	GRYG
P331	BG95xGH1	P331:250353823	GRYG
P334	BG95xGH1	P334:250353824	GRYG
P338	BG95xGH1	P338:250353740	GRYG
P339	BG95xGH1	P339:250353986	GRYG
P34	BG95xGH1	P34:250353381	GRYG
P340	BG95xGH1	P340:250353987	GRYG
P341	BG95xGH1	P341:250353988	GRYG
P342	BG95xGH1	P342:250353989	GRYG
P344	BG95xGH1	P344:250353990	GRYG
P345	BG95xGH1	P345:250353991	GRYG
P347	BG95xGH1	P347:250353992	GRYG
P348	BG95xGH1	P348:250353993	GRYG
P349	BG95xGH1	P349:250353994	GRYG
P35	BG95xGH1	P35:250353382	GRYG
P352	BG95xGH1	P352:250353998	GRYG
P353	BG95xGH1	P353:250353999	GRYG
P354	BG95xGH1	P354:250354000	GRYG
P355	BG95xGH1	P355:250354001	GRYG
P356	BG95xGH1	P356:250354002	GRYG
P359	BG95xGH1	P359:250354003	GRYG
P36	BG95xGH1	P36:250353383	GRYG
P360	BG95xGH1	P360:250354004	GRYG
P363	BG95xGH1	P363:250354005	GRYG
P364	BG95xGH1	P364:250354006	GRYG
P365	BG95xGH1	P365:250354007	GRYG
P366	BG95xGH1	P366:250354008	GRYG
P367	BG95xGH1	P367:250354009	GRYG
P368	BG95xGH1	P368:250354010	GRYG
P369	BG95xGH1	P369:250354011	GRYG
P37	BG95xGH1	P37:250353384	GRYG
P370	BG95xGH1	P370:250354012	GRYG
P371	BG95xGH1	P371:250354013	GRYG
P373	BG95xGH1	P373:250354014	GRYG
P374	BG95xGH1	P374:250354015	GRYG
P379	BG95xGH1	P379:250354016	GRYG
P380	BG95xGH1	P380:250354017	GRYG
P381	BG95xGH1	P381:250354018	GRYG
P382	BG95xGH1	P382:250354019	GRYG
P383	BG95xGH1	P383:250354020	GRYG
P384	BG95xGH1	P384:250354021	GRYG
P385	BG95xGH1	P385:250354022	GRYG
P386	BG95xGH1	P386:250354023	GRYG
P387	BG95xGH1	P387:250354024	GRYG
P389	BG95xGH1	P389:250354025	GRYG
P39	BG95xGH1	P39:250353385	GRYG
P390	BG95xGH1	P390:250354026	GRYG
P391	BG95xGH1	P391:250354027	GRYG
P392	BG95xGH1	P392:250354028	GRYG
P393	BG95xGH1	P393:250354029	GRYG
P394	BG95xGH1	P394:250354030	GRYG
P395	BG95xGH1	P395:250354031	GRYG
P396	BG95xGH1	P396:250354032	GRYG
P397	BG95xGH1	P397:250354033	GRYG
P398	BG95xGH1	P398:250354034	GRYG
P399	BG95xGH1	P399:250354035	GRYG
P4	BG95xGH1	P4:250353352	GRYG
P40	BG95xGH1	P40:250353386	GRYG
P400	BG95xGH1	P400:250354036	GRYG
P401	BG95xGH1	P401:250354037	GRYG
P402	BG95xGH1	P402:250354038	GRYG
P403	BG95xGH1	P403:250354039	GRYG
P405	BG95xGH1	P405:250354040	GRYG
P406	BG95xGH1	P406:250354041	GRYG
P407	BG95xGH1	P407:250354042	GRYG
P408	BG95xGH1	P408:250354043	GRYG
P409	BG95xGH1	P409:250354044	GRYG
P410	BG95xGH1	P410:250354045	GRYG
P411	BG95xGH1	P411:250354046	GRYG
P412	BG95xGH1	P412:250354047	GRYG
P413	BG95xGH1	P413:250354048	GRYG
P414	BG95xGH1	P414:250354049	GRYG
P415	BG95xGH1	P415:250354050	GRYG
P416	BG95xGH1	P416:250354051	GRYG
P417	BG95xGH1	P417:250354052	GRYG
P420	BG95xGH1	P420:250354053	GRYG
P421	BG95xGH1	P421:250354054	GRYG
P422	BG95xGH1	P422:250354055	GRYG
P424	BG95xGH1	P424:250354056	GRYG
P425	BG95xGH1	P425:250354057	GRYG
P426	BG95xGH1	P426:250354058	GRYG
P427	BG95xGH1	P427:250354059	GRYG
P428	BG95xGH1	P428:250354060	GRYG
P429	BG95xGH1	P429:250354061	GRYG
P43	BG95xGH1	P43:250353387	GRYG
P430	BG95xGH1	P430:250354062	GRYG
P431	BG95xGH1	P431:250354063	GRYG
P432	BG95xGH1	P432:250354064	GRYG
P433	BG95xGH1	P433:250354065	GRYG
P434	BG95xGH1	P434:250354066	GRYG
P435	BG95xGH1	P435:250354067	GRYG
P436	BG95xGH1	P436:250354068	GRYG
P438	BG95xGH1	P438:250354069	GRYG
P441	BG95xGH1	P441:250354070	GRYG
P442	BG95xGH1	P442:250354071	GRYG
P447	BG95xGH1	P447:250354072	GRYG
P448	BG95xGH1	P448:250354073	GRYG
P449	BG95xGH1	P449:250354074	GRYG
P45	BG95xGH1	P45:250353388	GRYG
P450	BG95xGH1	P450:250354075	GRYG
P452	BG95xGH1	P452:250354076	GRYG
P453	BG95xGH1	P453:250354077	GRYG
P454	BG95xGH1	P454:250354078	GRYG
P455	BG95xGH1	P455:250354079	GRYG
P456	BG95xGH1	P456:250354080	GRYG
P458	BG95xGH1	P458:250354081	GRYG
P46	BG95xGH1	P46:250353389	GRYG
P47	BG95xGH1	P47:250353390	GRYG
P48	BG95xGH1	P48:250353391	GRYG
P49	BG95xGH1	P49:250353392	GRYG
P5	BG95xGH1	P5:250353353	GRYG
P51	BG95xGH1	P51:250353393	GRYG
P52	BG95xGH1	P52:250353394	GRYG
P53	BG95xGH1	P53:250353395	GRYG
P54	BG95xGH1	P54:250353396	GRYG
P55	BG95xGH1	P55:250353397	GRYG
P57	BG95xGH1	P57:250353398	GRYG
P59	BG95xGH1	P59:250353399	GRYG
P6	BG95xGH1	P6:250353354	GRYG
P60	BG95xGH1	P60:250353400	GRYG
P61	BG95xGH1	P61:250353401	GRYG
P63	BG95xGH1	P63:250353402	GRYG
P64	BG95xGH1	P64:250353403	GRYG
P65	BG95xGH1	P65:250353404	GRYG
P66	BG95xGH1	P66:250353405	GRYG
P67	BG95xGH1	P67:250353406	GRYG
P68	BG95xGH1	P68:250353407	GRYG
P7	BG95xGH1	P7:250353355	GRYG
P71	BG95xGH1	P71:250353408	GRYG
P73	BG95xGH1	P73:250353409	GRYG
P74	BG95xGH1	P74:250353410	GRYG
P75	BG95xGH1	P75:250353411	GRYG
P76	BG95xGH1	P76:250353412	GRYG
P77	BG95xGH1	P77:250353413	GRYG
P78	BG95xGH1	P78:250353414	GRYG
P79	BG95xGH1	P79:250353415	GRYG
P8	BG95xGH1	P8:250353356	GRYG
P80	BG95xGH1	P80:250353416	GRYG
P81	BG95xGH1	P81:250353417	GRYG
P82	BG95xGH1	P82:250353418	GRYG
P83	BG95xGH1	P83:250353419	GRYG
P84	BG95xGH1	P84:250353420	GRYG
P85	BG95xGH1	P85:250353421	GRYG
P86	BG95xGH1	P86:250353422	GRYG
P87	BG95xGH1	P87:250353423	GRYG
P88	BG95xGH1	P88:250353424	GRYG
P9	BG95xGH1	P9:250353357	GRYG
P90	BG95xGH1	P90:250353425	GRYG
P91	BG95xGH1	P91:250353426	GRYG
P92	BG95xGH1	P92:250353427	GRYG
P93	BG95xGH1	P93:250353428	GRYG
P94	BG95xGH1	P94:250353429	GRYG
P95	BG95xGH1	P95:250353430	GRYG
P96	BG95xGH1	P96:250353431	GRYG
P97	BG95xGH1	P97:250353432	GRYG
P98	BG95xGH1	P98:250353433	GRYG
P99	BG95xGH1	P99:250353434	GRYG
